treatment_code,description,list_price,confidence,tier,window_used,window_charges,mode_share_pct,second_price,second_count,third_price,third_count,list_price_365d,confidence_365d,uses_365d,revenue_365d,price_changed
HNSR,"Health Exam Non-Sceduled Recheck",70,84,HIGH,365d,1,100,,0,,0,70,84,1,70,false
120504,"RC GI Puppy - 4kg",70,84,HIGH,365d,1,100,,0,,0,70,84,1,70,false
107276,"Antirobe Capsule 75mg",14.16,56,MEDIUM,365d,3,66.7,40.56,1,,0,14.16,56,3,68.88,false
123310,"Hills K9 i/d Low Fat - 370g",68.76,84,HIGH,365d,1,100,,0,,0,68.76,84,1,68.76,false
115205,"Catheter Terumo IV Surflash 22g x 1in",68.5,84,HIGH,365d,1,100,,0,,0,68.5,84,1,68.5,false
139177,"RC Gastro Kitten - 3.5kg",68.03,84,HIGH,365d,1,100,,0,,0,68.03,84,1,68.03,false
124182,"Hills K9 Metabolic - 13oz",67.8,84,HIGH,365d,1,100,,0,,0,67.8,84,1,67.8,false
123875,"Rheumocam (Meloxicam) 15ml",33.76,86,HIGH,365d,2,100,,0,,0,33.76,86,2,67.52,false
128175,"Trazodone - 100mg",12.4,44,LOW,365d,5,40,12.8,1,16.8,1,12.4,44,5,67.24,false
137881,"Horse Bedding Pellets -16kg",28.16,25,LOW,365d,3,33.3,12.88,1,25.76,1,28.16,25,3,66.8,false
135198,"After Surgery Wear - M/L (15.7in)",33.1,86,HIGH,365d,2,100,,0,,0,33.1,86,2,66.2,false
1700,"Prolapse treatment/reduction",65.1,84,HIGH,365d,1,100,,0,,0,65.1,84,1,65.1,false
131784,"RC Fel Urinary SO + Calm - 3kg",64.4,84,HIGH,365d,1,100,,0,,0,64.4,84,1,64.4,false
125482,"Sucralfate 1g tabs",12.52,48,LOW,365d,4,50,15.64,1,23.7,1,12.52,48,4,64.38,false
139879,"Erythromycin 5mg/g Ophtalmic ointment",63.45,84,HIGH,365d,1,100,,0,,0,63.45,84,1,63.45,false
INJ2,"IM/ SQ injection",31.5,86,HIGH,365d,2,100,,0,,0,31.5,86,2,63,false
011041,"Snap cPL - in house",62.5,84,HIGH,365d,1,100,,0,,0,62.5,84,1,62.5,false
131240,"RC Fel Renal Support A - 3kg",62.44,84,HIGH,365d,1,100,,0,,0,62.44,84,1,62.44,false
107290,"Depo-Medrol 40mg/ml per ml",15.5,88,HIGH,365d,4,100,,0,,0,15.5,88,4,62,false
127719,"PVD Fel Ess. Care Adult - 3.6kg",61.97,84,HIGH,365d,1,100,,0,,0,61.97,84,1,61.97,false
138953,"Prednisolone 1% Opth Suspension 10ml",30.96,86,HIGH,365d,2,100,,0,,0,30.96,86,2,61.92,false
131750,"Hills K9 c/d Chicken - 370g",61.56,84,HIGH,365d,1,100,,0,,0,61.56,84,1,61.56,false
102606,"CET Toothpaste Beef - 70g",10.19,76,MEDIUM,365d,6,83.3,10.6,1,,0,10.19,76,6,61.55,false
127046,"Vitamin B12 Inj. 1000mcg/ml",12.22,72,MEDIUM,365d,5,80,12.3,1,,0,12.22,72,5,61.18,false
118447,"Azithromycin Liquid 40mg/mL - 600mg",30.43,86,HIGH,365d,2,100,,0,,0,30.43,86,2,60.86,false
DAP,"Canine DAP (Distemper) Vaccination",30,86,HIGH,365d,2,100,,0,,0,30,86,2,60,false
CPV,"Canine Parvo (CPV) Vaccination",30,86,HIGH,365d,2,100,,0,,0,30,86,2,60,false
116,"Anaesthetic - Local",59.2,84,HIGH,365d,1,100,,0,,0,59.2,84,1,59.2,false
120515,"RC K9 GI Mod Cal - 4kg",58.62,84,HIGH,365d,1,100,,0,,0,58.62,84,1,58.62,false
142542,"RC K9 Hypo HP Puppy - 4kg",58.46,84,HIGH,365d,1,100,,0,,0,58.46,84,1,58.46,false
IVINJ,"Intravenous Injection",58,84,HIGH,365d,1,100,,0,,0,58,84,1,58,false
EXTVMIN,"Extractions -Very Minor/Crown Amputation",58,84,HIGH,365d,1,100,,0,,0,58,84,1,58,false
1201,"PCV/Ts Blood Smear/Differential",57.9,84,HIGH,365d,1,100,,0,,0,57.9,84,1,57.9,false
IC,"Intensive Care/12h",57.5,84,HIGH,365d,1,100,,0,,0,57.5,84,1,57.5,false
128311,"Fructosamine Add On IN",57.1,84,HIGH,365d,1,100,,0,,0,57.1,84,1,57.1,false
125369,"Chlor Palm 250 - 60ml",28.54,86,HIGH,365d,2,100,,0,,0,28.54,86,2,57.08,false
123511,"Fucidin 2% Ointment 30g",56.4,84,HIGH,365d,1,100,,0,,0,56.4,84,1,56.4,false
102594,"CET Toothpaste Vanilla Mint - 70g",11.7,31,LOW,365d,5,40,10.6,2,11.36,1,11.7,31,5,55.96,false
124131,"Cefazolin 1g 15mL per vial",26.24,33,LOW,365d,2,50,29.37,1,,0,26.24,33,2,55.61,false
137954,"PVD Fel  OM Crunchy/Dental Bites - 51g",13.56,48,LOW,365d,4,50,8.1,1,20.34,1,13.56,48,4,55.56,false
142533,"Methocarbamol 750 mg",30.27,33,LOW,365d,2,50,25.05,1,,0,30.27,33,2,55.32,false
136203,"CET Veggiedent Chews XS - 30s",16.78,56,MEDIUM,365d,3,66.7,21.14,1,,0,16.78,56,3,54.7,false
920609,"Buster Under Const 7.5cm  E-collar",9.02,90,HIGH,365d,6,100,,0,,0,9.02,90,6,54.12,false
SCRAP,"Skin Tape impression",54.1,84,HIGH,365d,1,100,,0,,0,54.1,84,1,54.1,false
140580,"Clavamox chew tabs 125 mg",29.6,33,LOW,365d,2,50,24.32,1,,0,29.6,33,2,53.92,false
140656,"PVD K9 HA Salmon - 2.72kg",53.89,84,HIGH,365d,1,100,,0,,0,53.89,84,1,53.89,false
139619,"CET K9 Hextra Chews Large - 30s",26.85,86,HIGH,365d,2,100,,0,,0,26.85,86,2,53.7,false
127716,"PVD Fel Ess. Care Kitten 1.6kg",29.69,33,LOW,365d,2,50,23.75,1,,0,29.69,33,2,53.44,false
102887,"Amoxi Clav 500/125mg",53.44,84,HIGH,365d,1,100,,0,,0,53.44,84,1,53.44,false
124104,"Gabapentin 600mg (APO)",22.15,25,LOW,365d,3,33.3,13.75,1,17.25,1,22.15,25,3,53.15,false
102968,"CET Toothpaste Poultry - 70g",10.6,89,HIGH,365d,5,100,,0,,0,10.6,89,5,53,false
119994,"Feline PVD DH 2.72kg",52.48,84,HIGH,365d,1,100,,0,,0,52.48,84,1,52.48,false
135931,"Aventi GI Powder - 120g",52.43,84,HIGH,365d,1,100,,0,,0,52.43,84,1,52.43,false
134073,"Emeraid Intensive Care Carnivore - 100mg",25.32,86,HIGH,365d,2,100,,0,,0,25.32,86,2,50.64,false
125015,"Baytril 5% Inj. (per mL)",15.79,26,LOW,365d,7,28.6,1.9,2,0.95,2,15.79,26,7,50.41,false
IOD,"Gentle Iodine (povidone-iodine topical )",25,86,HIGH,365d,2,100,,0,,0,25,86,2,50,false
ANALGLAN,"Anal Gland Expression - Technologist",49.99,84,HIGH,365d,1,100,,0,,0,49.99,84,1,49.99,false
139520,"CET Fel Intellident Bites 90s",9.98,36,LOW,365d,4,50,14.97,2,,0,9.98,36,4,49.9,false
BAYDEX,"Baytril/Dexamethadone Otic Sol 30 ml",49.9,84,HIGH,365d,1,100,,0,,0,49.9,84,1,49.9,false
132309,"Douxo S3 Calm Mousse - 150mL",49.84,84,HIGH,365d,1,100,,0,,0,49.84,84,1,49.84,false
137312,"Max & Molly Liver Treats - 120g",12.43,88,HIGH,365d,4,100,,0,,0,12.43,88,4,49.72,false
EZBRUSH,"EZ Scrub Brush w/Chlorhex 4%",49.38,84,HIGH,365d,1,100,,0,,0,49.38,84,1,49.38,false
131067,"PVD Fel Ess. Care Indoor - 3.6kg",49.11,84,HIGH,365d,1,100,,0,,0,49.11,84,1,49.11,false
123318,"Denta Chlorhexidine Oral Rinse 8oz",19.76,56,MEDIUM,365d,3,66.7,9.54,1,,0,19.76,56,3,49.06,false
103088,"Derma Gel 100ml",48.78,84,HIGH,365d,1,100,,0,,0,48.78,84,1,48.78,false
131925,"Charac Activated Charcoal 50g - 225mL",16.8,56,MEDIUM,365d,3,66.7,15,1,,0,16.8,56,3,48.6,false
HSO,"Hospital Supplies - Ophthalmic",48.1,84,HIGH,365d,1,100,,0,,0,48.1,84,1,48.1,false
121780,"IV Microbore T Connector Ext Set 7in",47.4,84,HIGH,365d,1,100,,0,,0,47.4,84,1,47.4,false
140006,"Diclofenac 0.1% Ophthalmic",22.41,33,LOW,365d,2,50,24.15,1,,0,22.41,33,2,46.56,false
137570,"DECLINED: Aventi Omega 3 Complete - 250m",23.22,86,HIGH,365d,2,100,,0,,0,23.22,86,2,46.44,false
119723,"DECLINED: Salbutamol 100mcg Inhaler",23.2,86,HIGH,365d,2,100,,0,,0,23.2,86,2,46.4,false
142300,"Intra-Trac Kennel Cough Oral",23.16,86,HIGH,365d,2,100,,0,,0,23.16,86,2,46.32,false
125224,"Revolution Dog 10.1-20kg (Red)",45.82,84,HIGH,365d,1,100,,0,,0,45.82,84,1,45.82,false
125225,"Revolution Dog 20.1-40kg (Teal)",45.34,84,HIGH,365d,1,100,,0,,0,45.34,84,1,45.34,false
139869,"Ubavet Dental Care Water Additive",44.76,84,HIGH,365d,1,100,,0,,0,44.76,84,1,44.76,false
121367,"Catalyst Lith Hep Whole Blood Sep 40/box",44,84,HIGH,365d,1,100,,0,,0,44,84,1,44,false
141280,"Diphenhydramine 50mg/ml",4,22,LOW,365d,4,25,13.27,1,24.76,1,4,22,4,43.7,false
144642,"Rayne Simple Freeze Dried Kangaroo 142g",43.44,84,HIGH,365d,1,100,,0,,0,43.44,84,1,43.44,false
104286,"Infusn Set Wing Butterfly12"" 23gx3/4""50s",43.35,84,HIGH,365d,1,100,,0,,0,43.35,84,1,43.35,false
123539,"PVD K9 OM Select Blend - 2.72kg",43.01,84,HIGH,365d,1,100,,0,,0,43.01,84,1,43.01,false
132102,"Canine CR Lyme",42.1,84,HIGH,365d,1,100,,0,,0,42.1,84,1,42.1,false
127715,"PVD Fel Essential Care Kitten 85g",42,84,HIGH,365d,1,100,,0,,0,42,84,1,42,false
118595,"Pro Otic Ear Cleaner - 16oz",20.99,86,HIGH,365d,2,100,,0,,0,20.99,86,2,41.98,false
135941,"Optixcare Eye Lube Plus (PURPLE) - 15g",13.99,87,HIGH,365d,3,100,,0,,0,13.99,87,3,41.97,false
0220,"Blood Collection",41.3,84,HIGH,365d,1,100,,0,,0,41.3,84,1,41.3,false
132256,"RC Fel Hypo Treat - 220g",13.71,87,HIGH,365d,3,100,,0,,0,13.71,87,3,41.13,false
EXONT,"Nail Trim (Exotic) -Tech",20.5,86,HIGH,365d,2,100,,0,,0,20.5,86,2,41,false
137313,"Max & Molly Liver Treats - 220g",20.27,86,HIGH,365d,2,100,,0,,0,20.27,86,2,40.54,false
108,"Premedication (Elective)",5.23,36,LOW,365d,4,50,14.9,2,,0,5.23,36,4,40.26,false
103361,"CET Toothpaste Seafood - 70g",10.6,48,LOW,365d,4,50,7.57,1,11.36,1,10.6,48,4,40.13,false
CRI,"CRI Surgery",40,84,HIGH,365d,1,100,,0,,0,40,84,1,40,false
134709,"DermaChlor 4% Shampoo - 236mL",39.78,84,HIGH,365d,1,100,,0,,0,39.78,84,1,39.78,false
USG,"USG (Urine Specific Gravity)",39,84,HIGH,365d,1,100,,0,,0,39,84,1,39,false
125313,"DECLINED: Theraderm Cream 15 g",38.78,84,HIGH,365d,1,100,,0,,0,38.78,84,1,38.78,false
119988,"PVD K9 EN - 2.72kg",38.68,84,HIGH,365d,1,100,,0,,0,38.68,84,1,38.68,false
123464,"Hilarys Renal Blend - 350g",38.5,84,HIGH,365d,1,100,,0,,0,38.5,84,1,38.5,false
122351,"RC Fel GI Mod Cal - 1.5kg",37.73,84,HIGH,365d,1,100,,0,,0,37.73,84,1,37.73,false
127758,"Collar Comfy Cone X-Lrg 30cm",36.67,84,HIGH,365d,1,100,,0,,0,36.67,84,1,36.67,false
125244,"Dexamethasone 5mg/ml inj",12.17,56,MEDIUM,365d,3,66.7,12.09,1,,0,12.17,56,3,36.43,false
108963,"CET Toothbrush - 24 pk",2.6,55,MEDIUM,365d,11,54.5,5.2,3,1.93,1,2.6,55,11,36.02,false
PCV1,"PCV - First",36,84,HIGH,365d,1,100,,0,,0,36,84,1,36,false
119987,"K9 PVD DH Sm Bites 2.72kg",35.31,84,HIGH,365d,1,100,,0,,0,35.31,84,1,35.31,false
129412,"RC Fel Urinary SO Mod Cal - 1.5kg",35.24,84,HIGH,365d,1,100,,0,,0,35.24,84,1,35.24,false
101377,"Maxitrol Opth 0.1% 5mL",35.05,84,HIGH,365d,1,100,,0,,0,35.05,84,1,35.05,false
BGLA,"Blood Glucose Libre Administration",35,84,HIGH,365d,1,100,,0,,0,35,84,1,35,false
140032,"Inhibit Ointment 50gm",34.13,84,HIGH,365d,1,100,,0,,0,34.13,84,1,34.13,false
127721,"PVD Fel Ess. Care Senior - 1.6kg",33.75,84,HIGH,365d,1,100,,0,,0,33.75,84,1,33.75,false
128800,"Christmas Toy Small",2,34,LOW,365d,7,42.9,8,3,3.6,1,2,34,7,33.6,false
132260,"RC K9 GI Treats - 500g",16.74,86,HIGH,365d,2,100,,0,,0,16.74,86,2,33.48,false
100760,"Hydromorphone Inj. 10mg/ml",33,84,HIGH,365d,1,100,,0,,0,33,84,1,33,false
METH25LI,"Methimazole 25 mg/ml Liquid",16.44,86,HIGH,365d,2,100,,0,,0,16.44,86,2,32.88,false
130853,"Insulin Syr Sol-M U-100 0.3mL/30g/1/2""",31.54,84,HIGH,365d,1,100,,0,,0,31.54,84,1,31.54,false
PCV2,"PCV - Additional",15.3,86,HIGH,365d,2,100,,0,,0,15.3,86,2,30.6,false
139608,"CET Aquadent Dental Solution- 500mL",15.28,86,HIGH,365d,2,100,,0,,0,15.28,86,2,30.56,false
127718,"PVD Fel Ess. Care Adult - 1.6kg",30.24,84,HIGH,365d,1,100,,0,,0,30.24,84,1,30.24,false
132073,"Rayne K9 Kangaroo Treats - 200g",30.07,84,HIGH,365d,1,100,,0,,0,30.07,84,1,30.07,false
NTAGAPP,"Nail Trim & Anal Glands with exam",30,84,HIGH,365d,1,100,,0,,0,30,84,1,30,false
LEP1,"Canine Leptospirosis Vaccination",30,84,HIGH,365d,1,100,,0,,0,30,84,1,30,false
140730,"Fluoxetine 10mg caps",29.1,84,HIGH,365d,1,100,,0,,0,29.1,84,1,29.1,false
106331,"Breathalyser Water Additive - 500ml",28.12,84,HIGH,365d,1,100,,0,,0,28.12,84,1,28.12,false
137120,"Furosemide Inj 10mg/ml  HIKMA",13.8,86,HIGH,365d,2,100,,0,,0,13.8,86,2,27.6,false
017436,"Diazepam Inj 5mg/ml 2mL vial",13.5,86,HIGH,365d,2,100,,0,,0,13.5,86,2,27,false
145141,"Pill Pockets Fel Salmon 45g",6.52,25,LOW,365d,3,33.3,13.04,1,6.99,1,6.52,25,3,26.55,false
99016571,"Omeprazole 10mg Tablet (Summit)",13.24,86,HIGH,365d,2,100,,0,,0,13.24,86,2,26.48,false
120464,"Optixcare L-Lysine Chews - 60s",26.33,84,HIGH,365d,1,100,,0,,0,26.33,84,1,26.33,false
140356,"Douxo S3 Calm Pads - 30's",26.2,84,HIGH,365d,1,100,,0,,0,26.2,84,1,26.2,false
145098,"XMAS Huggle Hound Wee Huggles each (6pk)",6.5,88,HIGH,365d,4,100,,0,,0,6.5,88,4,26,false
0502,"Pregabalin 75 mg",26,84,HIGH,365d,1,100,,0,,0,26,84,1,26,false
APOMORPH,"Apomorphine 3mg/ml",25.95,84,HIGH,365d,1,100,,0,,0,25.95,84,1,25.95,false
140789,"XMAS K9 Kong Holiday Snuzzles Reindeer",12.94,86,HIGH,365d,2,100,,0,,0,12.94,86,2,25.88,false
144746,"Clindamycin - 300mg Caps AURO",12.8,86,HIGH,365d,2,100,,0,,0,12.8,86,2,25.6,false
132332,"Feliway Classic Spray - 60mL",25.14,84,HIGH,365d,1,100,,0,,0,25.14,84,1,25.14,false
5822464,"Methocarbamol 200mg/ml",24.9,84,HIGH,365d,1,100,,0,,0,24.9,84,1,24.9,false
104091,"Clindamycin 150mg Caps TEVA",12.43,86,HIGH,365d,2,100,,0,,0,12.43,86,2,24.86,false
144745,"Clindamycin 150mg Caps AURA",12.4,86,HIGH,365d,2,100,,0,,0,12.4,86,2,24.8,false
137640,"Aventi Joint 250mL",24.72,84,HIGH,365d,1,100,,0,,0,24.72,84,1,24.72,false
144604,"Fluoxetine 10mg Caps AURO",12.32,86,HIGH,365d,2,100,,0,,0,12.32,86,2,24.64,false
124226,"Meloxicam 10mL (1.5mg/ml)",24.15,84,HIGH,365d,1,100,,0,,0,24.15,84,1,24.15,false
136849,"XMAS K9 Zippy Paw Reindeer",8,87,HIGH,365d,3,100,,0,,0,8,87,3,24,false
124331,"Furosemide Inj 10mg/ml SANDOZ",23.9,84,HIGH,365d,1,100,,0,,0,23.9,84,1,23.9,false
BUPESR,"Buprenorphine SR 3mg/ml Inj",23.61,84,HIGH,365d,1,100,,0,,0,23.61,84,1,23.61,false
139692,"Douxo S3 Calm Shampoo - 200mL",22.71,84,HIGH,365d,1,100,,0,,0,22.71,84,1,22.71,false
141192,"Denta Chlorhexidine Oral wipes 100's",22.54,84,HIGH,365d,1,100,,0,,0,22.54,84,1,22.54,false
BMM,"Bandage Material - Medium",22.5,84,HIGH,365d,1,100,,0,,0,22.5,84,1,22.5,false
130780,"Flexadin Plus Cat + Sm Dog - 30s",22.06,84,HIGH,365d,1,100,,0,,0,22.06,84,1,22.06,false
130160,"Profender Medium 2.6-5kg",21.89,84,HIGH,365d,1,100,,0,,0,21.89,84,1,21.89,false
142546,"Max & Molly Minnie Liver Treats",10.47,33,LOW,365d,2,50,11.22,1,,0,10.47,33,2,21.69,false
920001,"Buster Classic Clear 10 cm",10.76,86,HIGH,365d,2,100,,0,,0,10.76,86,2,21.52,false
117713,"Oti-Scrub Foaming Ear Cleaner - 16oz",21.45,84,HIGH,365d,1,100,,0,,0,21.45,84,1,21.45,false
138893,"RC Fel Pill Assist - 45g",21.36,84,HIGH,365d,1,100,,0,,0,21.36,84,1,21.36,false
127934,"Pill Pockets Dog Caps Chicken 448g",20.55,84,HIGH,365d,1,100,,0,,0,20.55,84,1,20.55,false
110064,"Pill Pockets Fel Salmon",6.79,87,HIGH,365d,3,100,,0,,0,6.79,87,3,20.37,false
101386,"Tobrex 0.3% Ointment 3.5g",20.04,84,HIGH,365d,1,100,,0,,0,20.04,84,1,20.04,false
EMEX5,"Add Walk In Fee",20,84,HIGH,365d,1,100,,0,,0,20,84,1,20,false
STAN1,"Stanhexidine 4% Skin Cleanser Small Bott",10,86,HIGH,365d,2,100,,0,,0,10,86,2,20,false
123838,"Pill Pockets K9 PeanutButter - Caps",9.56,33,LOW,365d,2,50,9.94,1,,0,9.56,33,2,19.5,false
125037,"Baytril 15mg Tablet",19.44,84,HIGH,365d,1,100,,0,,0,19.44,84,1,19.44,false
137953,"PVD Fel OM Savory Selects Salmon - 156g",18.66,84,HIGH,365d,1,100,,0,,0,18.66,84,1,18.66,false
0401,"DECLINED: Mirtazapine 2 mg Tab",16.35,84,HIGH,365d,1,100,,0,,0,16.35,84,1,16.35,false
DOXYC,"Doxycycline 50 mg/ml Summit",16.23,84,HIGH,365d,1,100,,0,,0,16.23,84,1,16.23,false
119803,"Prazosin 1mg",14.59,33,LOW,365d,2,50,1.39,1,,0,14.59,33,2,15.98,false
134295,"Hills K9 Soft Baked Treats - 13oz",15.58,84,HIGH,365d,1,100,,0,,0,15.58,84,1,15.58,false
139639,"RC Fel Renal Support E - 145g",3.11,56,MEDIUM,365d,3,66.7,9.33,1,,0,3.11,56,3,15.55,false
NAILEX,"Nail Trim Add-On (Exotic)",15,84,HIGH,365d,1,100,,0,,0,15,84,1,15,false
125479,"DECLINED: Furosemide 40mg tab",15,84,HIGH,365d,1,100,,0,,0,15,84,1,15,false
139617,"CET K9 Hextra Chews Small - 30s",14.77,84,HIGH,365d,1,100,,0,,0,14.77,84,1,14.77,false
99003527,"Acepromazine Maleate 10mg/ml",14.54,84,HIGH,365d,1,100,,0,,0,14.54,84,1,14.54,false
144753,"Lidocaine 2% w preserv- EUGIA",14.25,84,HIGH,365d,1,100,,0,,0,14.25,84,1,14.25,false
135726,"Optixcare Eye Lube (GREEN) - 20g",13.99,84,HIGH,365d,1,100,,0,,0,13.99,84,1,13.99,false
117712,"Oti-Scrub Foaming Ear Cleaner - 8oz",13.62,84,HIGH,365d,1,100,,0,,0,13.62,84,1,13.62,false
110063,"Pill Pockets Fel Chicken",13.58,84,HIGH,365d,1,100,,0,,0,13.58,84,1,13.58,false
118594,"Pro Otic Ear Cleaner - 4oz",12.86,84,HIGH,365d,1,100,,0,,0,12.86,84,1,12.86,false
141757,"XMAS Fel Pull-a Partz Yarnz",6.42,86,HIGH,365d,2,100,,0,,0,6.42,86,2,12.84,false
125411,"Ampicillin Caps 250mg TEVA",12.71,84,HIGH,365d,1,100,,0,,0,12.71,84,1,12.71,false
131739,"Metronidazole 5mg/ml Inj.",12.64,84,HIGH,365d,1,100,,0,,0,12.64,84,1,12.64,false
139174,"RC Gastro Puppy - 145g",12.48,84,HIGH,365d,1,100,,0,,0,12.48,84,1,12.48,false
140902,"Interceptor Plus Green(3.7-11.3kg)",12.3,84,HIGH,365d,1,100,,0,,0,12.3,84,1,12.3,false
125293,"Dextrose  50% 500 mls",12.04,84,HIGH,365d,1,100,,0,,0,12.04,84,1,12.04,false
134168,"DECLINED: Bravecto Fel Purple",12,84,HIGH,365d,1,100,,0,,0,12,84,1,12,false
101361,"Avena Sativa Ear Cleaner - 200ml",11.98,84,HIGH,365d,1,100,,0,,0,11.98,84,1,11.98,false
116432,"Pro Otic Ear Cleaner - 8oz",11.98,84,HIGH,365d,1,100,,0,,0,11.98,84,1,11.98,false
135606,"RC Fel Satiety - 2.9oz",11.1,84,HIGH,365d,1,100,,0,,0,11.1,84,1,11.1,false
134027,"Hills Fel Metabolic Treats - 2.5oz",10.41,84,HIGH,365d,1,100,,0,,0,10.41,84,1,10.41,false
703518,"Urinary Catheter 10 Fr 12's",5,86,HIGH,365d,2,100,,0,,0,5,86,2,10,false
115290,"Pill Pockets K9 Chicken - Caps",9.95,84,HIGH,365d,1,100,,0,,0,9.95,84,1,9.95,false
123837,"Pill Pockets K9 Hickory - Caps",9.94,84,HIGH,365d,1,100,,0,,0,9.94,84,1,9.94,false
104360,"Potassium Chloride Inj 40meg 20ml",9.7,84,HIGH,365d,1,100,,0,,0,9.7,84,1,9.7,false
141789,"XMAS K9 Christmas Loofa",9.64,84,HIGH,365d,1,100,,0,,0,9.64,84,1,9.64,false
141727,"XMAS K9 Cheeky Chum Red Elf",9.53,84,HIGH,365d,1,100,,0,,0,9.53,84,1,9.53,false
XMASMED,"Christmas Toy Medium",3,33,LOW,365d,2,50,6,1,,0,3,33,2,9,false
137967,"Catit Lickables Assorted - 12pk",8.94,84,HIGH,365d,1,100,,0,,0,8.94,84,1,8.94,false
140171,"Foil Crinkle Balls",2,88,HIGH,365d,4,100,,0,,0,2,88,4,8,false
115288,"Pill Pockets K9 Chicken - Tabs",7.92,84,HIGH,365d,1,100,,0,,0,7.92,84,1,7.92,false
123836,"Pill Pockets K9 PeanutButter - Tabs",7.92,84,HIGH,365d,1,100,,0,,0,7.92,84,1,7.92,false
131559,"RC Fel Renal Support A - 340g",7.1,84,HIGH,365d,1,100,,0,,0,7.1,84,1,7.1,false
145046,"XMAS Fel Kong Cat Yeti -refillable",6.9,84,HIGH,365d,1,100,,0,,0,6.9,84,1,6.9,false
145149,"Pill Pockets Fel Chicken",6.52,84,HIGH,365d,1,100,,0,,0,6.52,84,1,6.52,false
137968,"Catit Lickables Tuna - 5pk",2.88,86,HIGH,365d,2,100,,0,,0,2.88,86,2,5.76,false
130014,"Hills K9 w/d Chkn Stew - 12.5oz",5.21,84,HIGH,365d,1,100,,0,,0,5.21,84,1,5.21,false
703419,"Urinary Catheter 8 Fr 12's",2.5,86,HIGH,365d,2,100,,0,,0,2.5,86,2,5,false
STANH4,"Stanhexidine Scrub - 4OZ",5,84,HIGH,365d,1,100,,0,,0,5,84,1,5,false
107800,"Syringe Ideal 20cc slip",2.16,86,HIGH,365d,2,100,,0,,0,2.16,86,2,4.32,false
123497,"Greenie Fel Treat Indoor Chicken - 60g",4.25,84,HIGH,365d,1,100,,0,,0,4.25,84,1,4.25,false
130933,"Gauze Sponge 4ply 2'x2' - 200 per bag",3.39,84,HIGH,365d,1,100,,0,,0,3.39,84,1,3.39,false
136685,"Catit Lickables Chicken & Liver - 5pk",2.88,84,HIGH,365d,1,100,,0,,0,2.88,84,1,2.88,false
STANH2,"Stanhexidine Scrub - 2OZ",2.8,84,HIGH,365d,1,100,,0,,0,2.8,84,1,2.8,false
127722,"PVD Fel Ess Care Indoor - 85g",1.75,84,HIGH,365d,1,100,,0,,0,1.75,84,1,1.75,false
ECO,"Paper bag large",0.25,87,HIGH,365d,3,100,,0,,0,0.25,87,3,0.75,false
