treatment_code,description,list_price,last_changed,months_held,confidence,tier,share_pct,charges_in_run,alt1_price,alt1_count,alt2_price,alt2_count,drifting,drift_price,drift_months,uses_365d,revenue_365d
3VW,"X-Rays  Additional",82,2023-12-01,20,94,HIGH,89.6,67,49.2,2,164,2,false,,0,10,828.2
GPF,"Gingival/Periosteal Flap",20,2025-11-01,3,60,MEDIUM,63.6,11,40,4,,0,false,,0,20,820
127720,"PVD Fel Ess. Care Senior - 85g",47.52,2025-05-01,5,84,HIGH,91.7,12,42,1,,0,true,4.28,2,26,816.98
99011495,"Fluoxetine 5mg Tablets -  Summit",41.4,2025-12-01,3,52,MEDIUM,50,10,26.7,2,70.8,2,false,,0,20,811.78
FL2,"Feline Leukemia Vaccination 2nd",30,2025-02-01,12,98,HIGH,100,35,,0,,0,false,,0,27,810
119897,"Aurizon Ear Drops 10 ml",64.15,2025-11-01,3,79,HIGH,100,8,,0,,0,true,65.83,1,13,796.71
PHE,"Phenobarbital Level - Idexx",158.9,2025-11-01,2,73,MEDIUM,100,5,,0,,0,false,,0,5,794.5
132339,"Aventi Liver Complete Dogs & Cats -90s",154,2024-04-01,3,48,LOW,50,4,133.32,1,153.54,1,true,153.54,2,5,775.68
SHAVE,"Lion Shave with sedation",193.4,2025-03-01,4,82,HIGH,100,7,,0,,0,false,,0,4,773.6
140366,"Librela (30.1-40kg) per vial",82.32,2025-03-01,4,58,MEDIUM,60,5,111.32,1,96.53,1,true,103.77,1,8,772.51
0032,"Soft Tissue Surgical Fee Per 10 Minutes",110,2024-07-01,8,64,MEDIUM,44.4,18,220,4,165,2,false,,0,4,770
118034,"RC Fel Hypo HP - 3.5kg",85.04,2025-11-01,4,77,HIGH,88.9,9,88.44,1,,0,false,,0,9,768.76
ULTRA 2,"Ultrasonographer Travel Fee",95,2024-10-01,8,89,HIGH,92.3,13,97.5,1,,0,false,,0,8,762.5
138219,"Entero Aid + GI - 30ml",45.51,2025-08-01,6,91,HIGH,94.1,17,31.36,1,,0,false,,0,17,759.52
AIP15,"Anesthesia - Isoflurane Per 15 Mins",138,2025-03-01,6,75,HIGH,70,10,82.8,1,69,1,false,,0,5,759
100032,"Apo- Furosemide 20mg tablet",36,2025-06-01,3,65,MEDIUM,75,8,24,1,17.6,1,true,25.2,2,27,755
HCR,"Health Exam Recheck Canine",69,2025-11-01,5,71,MEDIUM,70,10,65,2,41.4,1,false,,0,12,751.9
143563,"Senvelgo - 30ml",748.12,2025-07-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,748.12
BARA,"Idexx Bile Acids (Single Sample) Add-on",121.9,2026-01-01,1,70,MEDIUM,100,6,,0,,0,false,,0,6,731.4
HSPMED,"Hospitalization (Medical)",120,2025-12-01,4,81,HIGH,100,6,,0,,0,false,,0,6,720
139644,"RC Fel Renal Support Early - 85g",95.04,2025-11-01,3,76,HIGH,100,4,,0,,0,true,49.44,1,10,718.56
135949,"Interceptor Plus - Yellow (11.4-22.7kg)",22.29,2025-02-01,6,80,HIGH,71.4,21,21.4,2,18.95,2,true,23.24,2,26,716.31
144618,"Gabapentin 300 mg (AURO)",32.4,2025-07-01,3,59,MEDIUM,66.7,6,29,1,46,1,true,15.6,2,33,715.37
FVR3,"Feline FVRCP 3rd Vaccination",30,2025-09-01,5,85,HIGH,89.5,19,18,2,,0,true,18,1,26,708
139164,"PVD Hydra Care",40.32,2025-03-01,7,59,MEDIUM,38.5,13,20.16,4,1.68,2,true,18.72,1,23,693.48
REEX,"Recheck Exam",69,2025-12-01,4,83,HIGH,100,9,,0,,0,false,,0,10,690
137162,"Revolution Plus - Cats 5.1-10kg (Green)",33.85,2025-09-01,4,81,HIGH,92.3,13,61.2,1,,0,true,37.7,1,18,687.1
119989,"PVD K9 HA Vegetarian - 2.72kg",48.36,2025-04-01,5,88,HIGH,100,10,,0,,0,true,50.3,2,14,686.81
130004,"Hills Fel t/d - 3.85kg",91,2024-06-01,3,77,HIGH,100,5,,0,,0,true,88.21,1,8,684.39
117787,"MCRC Feline Urinary SO 3.5 kg",68.38,2025-06-01,4,84,HIGH,100,10,,0,,0,false,,0,10,683.8
SQFK,"SQ Fluids Kit ( LRS  line  10 needles)",45,2025-05-01,6,93,HIGH,100,14,,0,,0,false,,0,15,675
PCSB,"Private Cremation Satin Bag",112.5,2025-11-01,3,77,HIGH,100,6,,0,,0,false,,0,6,675
125413,"Ampicillin Na Inj 250mg (Vial) TEVA",33.59,2024-11-01,3,48,LOW,50,4,34.73,1,46.19,1,true,42.3,1,18,668.18
ULTRA 3,"Ultrasound Specialist Report",35,2022-02-01,27,100,HIGH,100,85,,0,,0,false,,0,19,665
109637,"Hills Fel z/d - 156g",21,2025-02-01,3,44,LOW,40,5,166.08,1,67.13,1,true,11.04,2,11,663.33
143775,"Hills Fel C/D Stress Tuna - 5.5 oz",78.48,2025-12-01,3,68,MEDIUM,83.3,6,3.4,1,,0,true,17,1,14,659.54
134491,"Cefaseptin Chewable 750mg",20.88,2025-07-01,2,41,LOW,50,2,33.6,1,,0,true,39.86,1,17,657.31
113572,"Hills Fel c/d Chicken - 5.5oz",3.09,2025-03-01,3,55,MEDIUM,60,5,9.27,1,74.16,1,true,3.25,2,23,653.35
115275,"Hills Fel t/d - 20lbs",108.64,2020-05-01,3,66,MEDIUM,80,5,154,1,,0,true,160.71,2,4,650.19
FL1,"Schirmer Tear Test(Per Patient)",43.9,2021-01-01,35,98,HIGH,96.1,102,40,2,39.6,1,false,,0,15,640.94
99007951,"Buprenorphine 0.8mg/ml per ml no flavor",34.87,2025-08-01,2,52,MEDIUM,66.7,3,30.37,1,,0,true,22.21,2,22,639.15
MISLAB,"ALT - IDEXX",35.9,2019-02-01,8,51,MEDIUM,10.7,56,36,5,33.9,4,false,,0,3,639.08
126022,"Caninsulin 10ml",60.42,2023-10-01,7,79,HIGH,75,12,68.86,3,,0,true,78.62,2,7,635.8
122482,"PVD Fel HA - 1.81kg",48.3,2025-08-01,3,62,MEDIUM,71.4,7,36.12,1,38.64,1,true,54.77,2,13,634.19
AEPI2,"Allergy Panel Environmental/Insect Idexx",631.5,2026-01-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,631.5
PRCRE2,"Private Cremation w/ Scatter 1.1kg-10kg",210,2024-12-01,4,58,MEDIUM,60,5,196,2,,0,false,,0,3,630
117821,"RC K9 Hypo HP - 11.5kg",145.85,2025-01-01,5,70,MEDIUM,71.4,7,153.66,2,,0,true,159.81,1,4,626.94
133026,"Simparica 80mg (20.1-40kg) Green",31.49,2025-03-01,4,66,MEDIUM,62.5,16,81.47,3,106.46,2,true,41.17,1,15,625.04
100095,"Piroxicam 10mg",99,2025-11-01,1,65,MEDIUM,100,2,,0,,0,true,106,1,6,622
135379,"Epi-otic Ear Cleanser 236 ml",32.18,2025-09-01,4,76,HIGH,83.3,12,32.92,2,,0,true,33.57,1,19,617.03
119326,"Hills Fel k/d Chicken - 8.5lbs",86.61,2025-12-01,4,54,MEDIUM,50,6,90.08,3,,0,false,,0,7,616.68
HS,"Hospitlization - Surgery",55,2025-02-01,5,88,HIGH,100,10,,0,,0,false,,0,12,616
140363,"Librela (5-10kg) per vial",110.6,2024-02-01,6,93,HIGH,100,14,,0,,0,true,94.27,2,7,614.94
FT,"Fluid Therapy - Dental",55,2025-02-01,6,94,HIGH,100,18,,0,,0,false,,0,11,605
140307,"Feliway Classic Diffuser Starter Kit",33.59,2025-04-01,8,95,HIGH,100,19,,0,,0,false,,0,18,604.62
128903,"Hills Fel c/d Ckn STRESS 82g",32.88,2022-06-01,3,48,LOW,50,4,10.96,1,38.52,1,true,154.08,1,6,602.25
102970,"PVD Fel DM 156g",41.4,2023-07-01,7,70,MEDIUM,56.3,16,13.8,2,82.8,2,true,78.48,1,17,592.94
HSSPS,"Hospital Supplies-Surgery Pack Standard",58,2025-02-01,8,87,HIGH,87.5,16,34.8,2,,0,false,,0,11,591.6
105105,"Hills Fel k/d Chicken - 5.5oz",9.51,2022-04-01,3,34,LOW,25,4,3.17,1,83.04,1,true,19.35,1,12,589.98
128319,"PVD Feline HA 3.6 KG",81.93,2025-01-01,6,63,MEDIUM,50,8,95.55,2,87.66,1,true,99.37,1,6,588.58
126232,"Viaderm KC Cream 15g",25.07,2025-11-01,3,78,HIGH,93.3,15,25.51,1,,0,true,25.51,1,23,584.22
920610,"Buster Under Constr 10cm E-collar",10.5,2024-11-01,11,95,HIGH,91.5,71,8.92,5,5.25,1,true,10.9,1,56,575.25
142468,"Cephalex 500mg tabs",37.62,2025-05-01,5,59,MEDIUM,50,8,46.16,2,18.1,1,true,17.6,1,20,568.33
132100T,"APOQUEL 5.4mg per Tablet",60.15,2022-06-01,6,64,MEDIUM,50,10,637.95,1,25.02,1,true,123.9,2,6,567.93
140558,"NEXGARD Combo S Kitten <2.5kg",30.14,2026-02-01,2,77,HIGH,100,11,,0,,0,false,,0,17,566.62
144616,"Gabapentin100mg AURO",12.14,2025-07-01,1,37,LOW,50,2,12.28,1,,0,true,14.24,1,38,560.09
NAILTRAD,"Nail Trim Add-On",39.99,2026-03-01,1,74,MEDIUM,100,14,,0,,0,false,,0,14,559.86
140365,"Librela - 15mg/ml (First Vial)",79.91,2025-03-01,3,48,LOW,50,4,81.98,1,93.64,1,true,93.64,2,6,557.18
99008135,"Gabapentin 50mg Tablet (Summit)",33,2025-03-01,2,58,MEDIUM,75,4,49.8,1,,0,true,27.4,2,18,554.02
140364,"Librela (10.1-20kg) per vial",104.56,2025-02-01,3,48,LOW,50,4,77.48,1,88.39,1,true,97.45,2,6,546.61
121371,"PVD K9 DH - 11.3",109.05,2025-12-01,2,73,MEDIUM,100,5,,0,,0,false,,0,5,545.25
109235,"Vigamox 0.5% - 3mL",45.55,2025-10-01,3,70,MEDIUM,85.7,7,45.65,1,,0,true,45.65,1,12,542.11
140224,"Mirataz 2% 5 gr",67.12,2023-09-01,2,72,MEDIUM,100,4,,0,,0,true,70.92,1,8,539.91
138276,"Simparica TRIO Tan 5.1-10kg",34.76,2025-04-01,4,58,MEDIUM,57.1,7,105.99,2,153.5,1,true,34.23,1,8,538.22
NAIL1,"Nail Trim (With Appointment)",15,2019-03-01,53,98,HIGH,96.8,347,9,6,13.5,3,false,,0,36,537
90910494,"Methimazole 25mg/ml Transdermal",49.65,2025-03-01,3,62,MEDIUM,71.4,7,51.21,1,59.79,1,true,42.06,1,12,536.67
143774,"Hills Fel C/D Stress Veg/Tuna Stew",74.4,2025-12-01,3,68,MEDIUM,83.3,6,77.04,1,,0,false,,0,9,535.84
132851,"Cytopoint - 40mg",93.58,2025-04-01,3,48,LOW,50,4,110.09,1,238.48,1,false,,0,4,535.73
KIDNEY,"Kidney Panel (IN)",132.9,2025-01-01,4,84,HIGH,100,10,,0,,0,false,,0,4,531.6
137103,"Thyro Tab 0.4mg",43.2,2025-07-01,5,82,HIGH,90,10,141.6,1,,0,false,,0,10,530.4
90901341,"Prednisolone 10mg/ml Summit",34.6,2025-10-01,2,41,LOW,50,2,13.04,1,,0,true,69,1,15,529.01
135948A,"Interceptor Plus Chew Green(3.7-11.3kg)",15.95,2025-12-01,2,46,LOW,41.2,17,16.52,4,14.04,4,true,16.52,2,28,528.77
101384,"Tobradex Ointment 3.5 g",40.21,2025-08-01,3,65,MEDIUM,75,8,35.38,2,,0,true,35.66,1,14,526.5
130955,"Veraflox Oral Suspension 15ml",105.42,2025-12-01,4,47,LOW,40,5,65.24,2,58.71,1,false,,0,7,517.45
LIVER,"Liver Panel (IN)",171.9,2025-12-01,2,70,MEDIUM,100,3,,0,,0,false,,0,3,515.7
CHEM10,"Chem 10  Lytes  SDMA",171.7,2025-12-01,2,70,MEDIUM,100,3,,0,,0,false,,0,3,515.1
02247074,"Cyclosporine 50 mg  SUMMIT",256.2,2026-02-01,1,65,MEDIUM,100,2,,0,,0,false,,0,2,512.4
UCUL,"Urine Culture OUT",198.9,2025-03-01,4,66,MEDIUM,71.4,7,99.45,1,213.9,1,false,,0,3,512.25
119898,"Aurizon Ear Drops 20mL",101.8,2025-11-01,3,77,HIGH,100,5,,0,,0,false,,0,5,509
117010,"RC Fel Hypo HP - 1.5kg",40.98,2025-08-01,6,82,HIGH,81.8,11,30.74,1,42.61,1,false,,0,13,504.39
139214,"DECLINED: Hills K9 GI Biome - 27.5lb",160.7,2025-11-01,1,63,MEDIUM,100,1,,0,,0,true,171.78,1,3,504.26
112658,"Hills K9 z/d - 370g",74.16,2026-01-01,3,34,LOW,25,4,6.42,1,77.04,1,false,,0,8,502.32
140367,"Librela (40.1-60kg) per vial",87.19,2025-03-01,3,76,HIGH,100,4,,0,,0,true,102.4,1,5,496.79
120520,"MCRC K9 GI Low Fat 13 kg",140.07,2020-11-01,5,62,MEDIUM,57.1,7,165.05,2,183.51,1,true,165.5,1,3,496.05
125653,"Hills K9 t/d - 5lb",34.82,2025-09-01,4,83,HIGH,100,9,,0,,0,true,37.14,1,14,495.87
127717,"PVD Fel Ess. Care Adult - 85g",47.52,2025-06-01,3,68,MEDIUM,83.3,6,5.94,1,,0,true,39.53,2,14,493.48
