treatment_code,description,list_price,last_changed,days_held,months_held,previous_price,last_old_price_date,confidence,tier,share_pct,charges_in_run,drifting,drift_price,drift_months,uses_365d,revenue_365d
120508,"RC Fel GI Fibre Response - 4kg",85.63,2025-01-09,451,8,98.04,2024-10-18,94,HIGH,91.9,37,true,87.54,1,33,3004.69
GPFU,"Geriatric Panel + FPL + Urinalysis",331.9,2025-04-06,364,2,,,76,HIGH,100,9,false,,0,9,2987.1
PAW3,"Peartree Pawprint - Custom/Fur Match",106.8,2019-06-04,2497,19,,,94,HIGH,91.7,36,true,684,2,7,2964
0007,"Canine Neuter < 15 kg",265,2025-01-21,439,10,280,2024-12-23,92,HIGH,95,20,true,159,1,12,2954.75
WBCX,"Complex Biopsy OUT",711.9,2025-04-08,362,1,,,65,MEDIUM,100,2,true,757.9,1,4,2939.6
0012,"Canine  Spay 15-25 kg",324,2025-11-24,132,3,234,2024-12-13,77,HIGH,100,6,false,,0,9,2916
140365,"Librela - 15mg/ml (First Vial)",93.64,2025-08-01,247,6,81.98,2025-07-11,91,HIGH,94.4,18,false,,0,32,2813.33
115315,"Clavaseptin 500mg tablets",78.6,2025-03-09,392,3,105.24,2025-02-01,66,MEDIUM,70.6,17,true,54.8,1,33,2730.48
107354,"Surolan Drops 15ml",54.07,2025-08-07,241,5,48.06,2025-06-11,90,HIGH,93.5,31,true,55.96,2,51,2724.25
01-09,"Pyometra Surgery per 10 min",985.8,2025-05-07,333,2,376.5,2024-10-09,52,MEDIUM,66.7,3,false,,0,3,2710.95
FAVN,"Rabies Serology for Export OUT",674.9,2025-07-24,255,1,,,68,MEDIUM,100,4,false,,0,4,2699.6
131241,"MCRC Fel Renal Support D - 85g",16.2,2025-01-07,453,3,2.7,2024-12-27,48,LOW,50,4,true,265.92,2,15,2666.88
VACC3,"Puppy 2 - Da2ppv",30,2022-08-04,1340,43,27,2022-07-30,98,HIGH,95.7,441,false,,0,88,2628
135950,"Interceptor Plus Chew Blue (22.8-45.4KG)",72.38,2026-01-17,78,3,50.42,2025-12-20,34,LOW,25,4,false,,0,49,2605.22
